week of,national average
"Monday, June 7, 2021",3.128
"Monday, June 14, 2021",3.161
"Monday, June 21, 2021",3.153
"Monday, June 28, 2021",3.185
"Monday, July 5, 2021",3.216
"Monday, July 12, 2021",3.227
